station,shift_date,availability,performance,quality,oee,units_produced,units_defective,downtime_sec,throughput_per_hr
Packaging,2026-01-01,0.9912,0.9887,0.9957,0.9757,11295,49,255,1411.1
Packaging,2026-01-02,0.9874,0.9846,0.9954,0.9678,11201,51,363,1400.0
Packaging,2026-01-03,0.9982,0.9798,0.9964,0.9744,11287,41,53,1408.3
Packaging,2026-01-04,0.9874,0.9847,0.9955,0.9679,11202,50,364,1400.1
Packaging,2026-01-05,0.9943,0.9863,0.9963,0.9771,11315,42,163,1412.3
Packaging,2026-01-06,0.9936,0.9827,0.9955,0.972,11250,51,184,1406.1
Packaging,2026-01-07,0.9938,0.9891,0.996,0.9791,11347,45,178,1415.5
Packaging,2026-01-08,0.9878,0.9822,0.9952,0.9655,11197,54,353,1397.1
Packaging,2026-01-09,0.9959,0.9875,0.9963,0.9798,11352,42,119,1416.1
Packaging,2026-01-10,0.9894,0.9819,0.9958,0.9675,11194,47,305,1399.0
Packaging,2026-01-11,0.9952,0.9855,0.9958,0.9767,11306,47,139,1412.3
Packaging,2026-01-12,0.9917,0.9899,0.9951,0.9768,11332,56,239,1413.6
Packaging,2026-01-13,0.9928,0.9761,0.9962,0.9654,11174,42,208,1395.4
Packaging,2026-01-14,0.9966,0.9797,0.9968,0.9733,11263,36,97,1406.1
Packaging,2026-01-15,0.9872,0.9771,0.9956,0.9603,11115,49,370,1388.9
Packaging,2026-01-16,0.9978,0.9875,0.9959,0.9813,11352,46,63,1418.9
Packaging,2026-01-17,0.992,0.987,0.9959,0.9751,11299,46,230,1409.9
Packaging,2026-01-18,0.9927,0.9904,0.9963,0.9795,11338,42,210,1415.8
Packaging,2026-01-19,0.9929,0.9855,0.9954,0.9739,11282,52,206,1409.0
Packaging,2026-01-20,1.0,0.984,0.9953,0.9794,11336,53,0,1417.0
Packaging,2026-01-21,0.9887,0.9837,0.9956,0.9683,11214,49,327,1400.4
Packaging,2026-01-22,0.9975,0.9919,0.9966,0.9861,11403,39,71,1424.8
Packaging,2026-01-23,1.0,0.9894,0.9968,0.9863,11398,36,0,1424.8
Packaging,2026-01-24,0.9971,0.9857,0.9951,0.9781,11332,55,83,1415.4
Packaging,2026-01-25,0.9953,0.9866,0.9963,0.9783,11318,42,136,1414.0
Packaging,2026-01-26,0.9957,0.984,0.9958,0.9758,11289,47,123,1411.0
Packaging,2026-01-27,0.9953,0.987,0.9951,0.9776,11323,55,136,1414.6
Packaging,2026-01-28,0.9978,0.981,0.9959,0.9749,11278,46,63,1409.6
Packaging,2026-01-29,1.0,0.9851,0.996,0.9812,11348,45,0,1418.5
Packaging,2026-01-30,0.9953,0.9863,0.9952,0.977,11315,54,134,1413.7
