station,shift_date,availability,performance,quality,oee,units_produced,units_defective,downtime_sec,throughput_per_hr
Capping,2026-01-01,0.9227,0.9938,0.9839,0.9023,17611,283,2226,2200.9
Capping,2026-01-02,0.9634,0.9959,0.986,0.946,18444,259,1054,2302.8
Capping,2026-01-03,0.9419,0.9944,0.9847,0.9223,18019,275,1678,2247.8
Capping,2026-01-04,0.9288,0.9925,0.9862,0.9091,17706,245,2050,2212.5
Capping,2026-01-05,0.9171,0.9935,0.9849,0.8973,17525,265,2392,2186.7
Capping,2026-01-06,0.9314,0.9859,0.9847,0.9043,17668,270,1979,2204.0
Capping,2026-01-07,0.9491,0.9913,0.9851,0.9269,18082,269,1468,2258.1
Capping,2026-01-08,0.9638,0.9971,0.9849,0.9465,18466,279,1044,2306.3
Capping,2026-01-09,0.9075,0.9875,0.9847,0.8824,17222,264,2668,2150.7
Capping,2026-01-10,0.8884,1.0,0.9843,0.8744,17101,269,3218,2134.8
Capping,2026-01-11,0.9634,0.9917,0.9846,0.9407,18366,282,1056,2292.9
Capping,2026-01-12,0.944,0.99,0.984,0.9196,18097,290,1626,2243.0
Capping,2026-01-13,0.905,0.9966,0.9855,0.8888,17341,252,2739,2164.7
Capping,2026-01-14,0.9107,0.9871,0.9849,0.8854,17294,261,2577,2157.5
Capping,2026-01-15,0.9132,0.9921,0.9865,0.8937,17421,235,2504,2174.3
Capping,2026-01-16,0.9384,0.9946,0.9856,0.9198,17942,259,1777,2239.9
Capping,2026-01-17,0.9367,0.9913,0.9853,0.9149,17844,263,1825,2228.6
Capping,2026-01-18,0.9111,0.9959,0.986,0.8947,17448,244,2564,2177.7
Capping,2026-01-19,0.9337,0.9973,0.9853,0.9174,17912,264,1914,2234.8
Capping,2026-01-20,0.9185,0.9956,0.9842,0.8999,17562,278,2349,2194.6
Capping,2026-01-21,0.9146,0.9956,0.9852,0.8971,17483,258,2461,2185.3
Capping,2026-01-22,0.9541,0.9896,0.9849,0.9299,18129,274,1322,2266.0
Capping,2026-01-23,0.93,0.9984,0.9855,0.915,17851,259,2019,2228.4
Capping,2026-01-24,0.9468,0.9898,0.9853,0.9233,18014,265,1535,2249.0
Capping,2026-01-25,0.9518,0.9931,0.9856,0.9315,18153,262,1390,2268.3
Capping,2026-01-26,0.9543,0.9904,0.9833,0.9294,18183,303,1318,2268.3
Capping,2026-01-27,0.9518,0.9963,0.9864,0.9354,18213,248,1390,2275.8
Capping,2026-01-28,0.9187,0.9861,0.9852,0.8924,17394,258,2342,2174.1
Capping,2026-01-29,0.9333,0.9906,0.9846,0.9103,17752,273,1922,2218.8
Capping,2026-01-30,0.9451,0.9927,0.9836,0.9228,18027,295,1582,2251.7
Filling,2026-01-01,0.9799,0.9775,0.9923,0.9504,13812,107,581,1724.0
Filling,2026-01-02,0.9666,0.9966,0.9924,0.956,13873,105,962,1734.0
Filling,2026-01-03,0.9832,0.99,0.9912,0.9648,14019,124,485,1752.1
Filling,2026-01-04,0.9617,0.9969,0.9917,0.9508,13817,114,1104,1725.7
Filling,2026-01-05,0.9764,0.9897,0.9932,0.9598,13925,95,679,1739.5
Filling,2026-01-06,0.982,0.9858,0.9926,0.9609,13959,103,520,1742.5
Filling,2026-01-07,0.9796,0.9897,0.9926,0.9623,13984,104,588,1745.1
Filling,2026-01-08,0.9665,0.9906,0.9922,0.95,13789,107,964,1723.4
Filling,2026-01-09,0.9731,0.9991,0.9919,0.9643,14028,114,777,1750.0
Filling,2026-01-10,0.9655,0.9858,0.9897,0.9421,13723,141,994,1713.4
Filling,2026-01-11,0.9634,0.9904,0.9918,0.9463,13756,113,1055,1717.4
Filling,2026-01-12,0.9705,0.9904,0.9914,0.953,13846,119,849,1730.2
Filling,2026-01-13,0.9692,0.9884,0.992,0.9503,13818,110,890,1724.3
Filling,2026-01-14,0.9868,0.9893,0.9919,0.9683,14068,114,381,1757.2
Filling,2026-01-15,0.9674,0.9823,0.9914,0.9421,13703,118,941,1710.4
Filling,2026-01-16,0.9716,0.9841,0.993,0.9495,13787,96,818,1721.1
Filling,2026-01-17,0.9764,0.9915,0.9925,0.9608,13950,105,679,1742.6
Filling,2026-01-18,0.977,0.9896,0.992,0.959,13923,112,662,1740.3
Filling,2026-01-19,0.99,0.9883,0.9911,0.9698,14113,125,288,1761.2
Filling,2026-01-20,0.9744,0.9845,0.9925,0.9521,13823,104,738,1726.8
Filling,2026-01-21,0.9639,0.9952,0.9926,0.9522,13824,102,1041,1726.7
Filling,2026-01-22,0.9878,0.9905,0.9922,0.9708,14115,110,352,1761.2
Filling,2026-01-23,0.9717,0.9847,0.9912,0.9485,13796,121,816,1722.3
Filling,2026-01-24,0.9789,0.993,0.9918,0.9641,14061,115,611,1749.7
Filling,2026-01-25,0.9748,0.9898,0.9919,0.9571,13897,112,726,1736.8
Filling,2026-01-26,0.9597,0.9881,0.992,0.9407,13666,109,1163,1706.9
Filling,2026-01-27,0.9736,0.9858,0.9915,0.9517,13840,117,760,1727.6
Filling,2026-01-28,0.9886,0.9865,0.9931,0.9686,14058,97,328,1755.5
Filling,2026-01-29,0.9653,0.9858,0.9918,0.9437,13722,113,1001,1712.8
Filling,2026-01-30,0.9782,0.9957,0.9931,0.9672,14039,97,629,1753.1
