timestamp,station,event_type,duration_sec,units_produced,units_defective,cause,shift_date
2026-01-01 06:00:00,Filling,production,60,32,0,,2026-01-01
2026-01-01 06:01:00,Filling,production,60,29,1,,2026-01-01
2026-01-01 06:02:00,Filling,production,60,31,0,,2026-01-01
2026-01-01 06:03:00,Filling,production,60,31,0,,2026-01-01
2026-01-01 06:04:00,Filling,production,60,28,0,,2026-01-01
2026-01-01 06:05:00,Filling,production,60,34,0,,2026-01-01
2026-01-01 06:06:00,Filling,production,60,31,0,,2026-01-01
2026-01-01 06:07:00,Filling,production,60,28,0,,2026-01-01
2026-01-01 06:08:00,Filling,production,60,31,0,,2026-01-01
2026-01-01 06:09:00,Filling,production,60,27,0,,2026-01-01
2026-01-01 06:10:00,Filling,production,60,31,1,,2026-01-01
2026-01-01 06:11:00,Filling,production,60,30,0,,2026-01-01
2026-01-01 06:12:00,Filling,production,60,24,0,,2026-01-01
2026-01-01 06:13:00,Filling,production,60,27,0,,2026-01-01
2026-01-01 06:14:00,Filling,production,60,29,1,,2026-01-01
2026-01-01 06:15:00,Filling,production,60,28,0,,2026-01-01
2026-01-01 06:16:00,Filling,production,60,32,0,,2026-01-01
2026-01-01 06:17:00,Filling,production,60,34,0,,2026-01-01
2026-01-01 06:18:00,Filling,production,60,32,1,,2026-01-01
2026-01-01 06:19:00,Filling,production,60,29,2,,2026-01-01
2026-01-01 06:20:00,Filling,production,60,28,0,,2026-01-01
2026-01-01 06:21:00,Filling,production,60,28,0,,2026-01-01
2026-01-01 06:22:00,Filling,production,60,34,0,,2026-01-01
2026-01-01 06:23:00,Filling,production,60,27,0,,2026-01-01
2026-01-01 06:24:00,Filling,production,60,28,0,,2026-01-01
2026-01-01 06:25:00,Filling,production,60,29,0,,2026-01-01
2026-01-01 06:26:00,Filling,production,60,26,0,,2026-01-01
2026-01-01 06:27:00,Filling,production,60,29,0,,2026-01-01
2026-01-01 06:28:00,Filling,production,60,33,0,,2026-01-01
2026-01-01 06:29:00,Filling,production,60,27,0,,2026-01-01
2026-01-01 06:30:00,Filling,production,60,32,0,,2026-01-01
2026-01-01 06:31:00,Filling,production,60,28,0,,2026-01-01
2026-01-01 06:32:00,Filling,production,60,28,1,,2026-01-01
2026-01-01 06:33:00,Filling,production,60,27,0,,2026-01-01
2026-01-01 06:34:00,Filling,production,60,27,1,,2026-01-01
2026-01-01 06:35:00,Filling,production,60,29,0,,2026-01-01
2026-01-01 06:36:00,Filling,production,60,27,1,,2026-01-01
2026-01-01 06:37:00,Filling,downtime,166,0,0,Level sensor fault,2026-01-01
2026-01-01 06:39:46,Filling,production,60,30,0,,2026-01-01
2026-01-01 06:40:46,Filling,production,60,30,0,,2026-01-01
2026-01-01 06:41:46,Filling,production,60,29,0,,2026-01-01
2026-01-01 06:42:46,Filling,production,60,35,0,,2026-01-01
2026-01-01 06:43:46,Filling,production,60,30,0,,2026-01-01
2026-01-01 06:44:46,Filling,production,60,30,0,,2026-01-01
2026-01-01 06:45:46,Filling,production,60,29,2,,2026-01-01
2026-01-01 06:46:46,Filling,production,60,27,0,,2026-01-01
2026-01-01 06:47:46,Filling,production,60,28,0,,2026-01-01
2026-01-01 06:48:46,Filling,production,60,28,0,,2026-01-01
2026-01-01 06:49:46,Filling,production,60,25,0,,2026-01-01
2026-01-01 06:50:46,Filling,production,60,29,0,,2026-01-01
2026-01-01 06:51:46,Filling,production,60,31,0,,2026-01-01
2026-01-01 06:52:46,Filling,production,60,32,0,,2026-01-01
2026-01-01 06:53:46,Filling,production,60,28,1,,2026-01-01
2026-01-01 06:54:46,Filling,production,60,32,1,,2026-01-01
2026-01-01 06:55:46,Filling,production,60,30,0,,2026-01-01
2026-01-01 06:56:46,Filling,production,60,29,0,,2026-01-01
2026-01-01 06:57:46,Filling,production,60,27,0,,2026-01-01
2026-01-01 06:58:46,Filling,production,60,29,0,,2026-01-01
2026-01-01 06:59:46,Filling,production,60,28,0,,2026-01-01
2026-01-01 07:00:46,Filling,production,60,29,0,,2026-01-01
2026-01-01 07:01:46,Filling,production,60,29,0,,2026-01-01
2026-01-01 07:02:46,Filling,production,60,29,0,,2026-01-01
2026-01-01 07:03:46,Filling,production,60,31,0,,2026-01-01
2026-01-01 07:04:46,Filling,production,60,33,0,,2026-01-01
2026-01-01 07:05:46,Filling,production,60,28,0,,2026-01-01
2026-01-01 07:06:46,Filling,production,60,27,0,,2026-01-01
2026-01-01 07:07:46,Filling,production,60,29,0,,2026-01-01
2026-01-01 07:08:46,Filling,production,60,32,2,,2026-01-01
2026-01-01 07:09:46,Filling,production,60,32,1,,2026-01-01
2026-01-01 07:10:46,Filling,production,60,29,0,,2026-01-01
2026-01-01 07:11:46,Filling,production,60,26,0,,2026-01-01
2026-01-01 07:12:46,Filling,production,60,32,1,,2026-01-01
2026-01-01 07:13:46,Filling,production,60,28,1,,2026-01-01
2026-01-01 07:14:46,Filling,production,60,28,1,,2026-01-01
2026-01-01 07:15:46,Filling,production,60,30,0,,2026-01-01
2026-01-01 07:16:46,Filling,production,60,31,0,,2026-01-01
2026-01-01 07:17:46,Filling,production,60,28,1,,2026-01-01
2026-01-01 07:18:46,Filling,production,60,32,0,,2026-01-01
2026-01-01 07:19:46,Filling,production,60,29,0,,2026-01-01
2026-01-01 07:20:46,Filling,production,60,29,0,,2026-01-01
2026-01-01 07:21:46,Filling,production,60,28,0,,2026-01-01
2026-01-01 07:22:46,Filling,production,60,28,1,,2026-01-01
2026-01-01 07:23:46,Filling,production,60,28,0,,2026-01-01
2026-01-01 07:24:46,Filling,production,60,28,0,,2026-01-01
2026-01-01 07:25:46,Filling,production,60,27,1,,2026-01-01
2026-01-01 07:26:46,Filling,production,60,31,0,,2026-01-01
2026-01-01 07:27:46,Filling,production,60,30,0,,2026-01-01
